"filename", "language", "Solidity", "comment", "blank", "total"
"/Users/mhng/Programing/Cyfrin-Security/3-passwordstore-audit/src/PasswordStore.sol", "Solidity", 20, 15, 7, 42
"Total", "-", 20, 15, 7, 42
